probe,p_val,t_stat,p_adj
209868_s_at,1.7768587694480342e-48,23.272621454583252,1.3601853880124702e-45
223122_s_at,1.0769046568880473e-48,23.342205504222697,1.3601853880124702e-45
202291_s_at,6.582488251632531e-47,22.747352514568973,2.5194473783123514e-44
204457_s_at,6.51865995988291e-47,23.478974839332942,2.5194473783123514e-44
202363_at,7.308998163005537e-46,22.481542221948434,1.865012697926913e-43
226930_at,6.380981162077864e-46,22.35176046120109,1.865012697926913e-43
225242_s_at,2.4183007525909295e-45,22.38156116598666,5.2891692174524474e-43
227059_at,4.9362930635430603e-45,22.217719081195188,9.446830850355532e-43
225782_at,3.01250474543791e-44,21.32788993704107,5.124605294739378e-42
209210_s_at,4.079460635917465e-43,20.63592950692779,6.245654233589638e-41
212354_at,5.212048717705957e-43,20.77536915521376,7.254224169825291e-41
225464_at,1.1221317896220857e-42,20.54770928315163,1.4316531415928444e-40
225442_at,1.5827491669349118e-42,20.692058759897083,1.863991518905654e-40
212344_at,2.4767526054796172e-42,20.496142838998292,2.671635783333331e-40
223121_s_at,2.6175399575440865e-42,22.711061487558943,2.671635783333331e-40
212353_at,2.964945472340336e-42,20.390221189862125,2.837082198845659e-40
202766_s_at,6.580629611424241e-42,20.081445428405516,5.926437608876772e-40
218694_at,7.219585417357477e-42,21.258918551496436,6.140658485541277e-40
225710_at,8.117912489101779e-42,20.018562812243864,6.5413284320078015e-40
225481_at,1.8058399822214855e-41,20.231704565627368,1.382370506390547e-39
202133_at,2.8623165094666965e-41,19.805063801364852,2.0867650361873865e-39
200986_at,7.774899541550252e-41,20.122698840513394,5.4106232718697436e-39
226237_at,1.7970286909916513e-40,19.49330876900134,1.1961960547427034e-38
210517_s_at,4.558234292290338e-40,19.46334427923896,2.9077736256235447e-38
228640_at,9.010714566246886e-40,19.175045852315836,5.518161600369594e-38
221748_s_at,9.972080008964357e-40,19.617152742861148,5.872020959124781e-38
209335_at,1.83900714335582e-39,19.010851743536918,1.0427851616584297e-37
215646_s_at,2.6838100421935957e-39,18.86891072870167,1.4674689909279983e-37
