probesets,p_val,t_stat,p_adj
203748_x_at,3.716374702250428e-49,23.582962507527377,8.245706370618138e-45
207266_x_at,2.2788660569377787e-49,23.709347984554274,8.245706370618138e-45
223122_s_at,1.0769046568880473e-48,23.342205504222697,1.5929214716469032e-44
209868_s_at,1.7768587694480342e-48,23.272621454583252,1.9712026973564129e-44
202291_s_at,6.582488251632531e-47,22.747352514568973,4.8682986027698924e-43
204457_s_at,6.51865995988291e-47,23.478974839332942,4.8682986027698924e-43
226930_at,6.380981162077864e-46,22.35176046120109,4.045086272388646e-42
202363_at,7.308998163005537e-46,22.481542221948434,4.0542099185421335e-42
225242_s_at,2.4183007525909295e-45,22.38156116598666,1.192356621069139e-41
227059_at,4.9362930635430603e-45,22.217719081195188,2.190480046947233e-41
225782_at,3.01250474543791e-44,21.32788993704107,1.2152718007164296e-40
209210_s_at,4.079460635917465e-43,20.63592950692779,1.508550547656979e-39
212354_at,5.212048717705957e-43,20.77536915521376,1.7791127834477065e-39
225464_at,1.1221317896220857e-42,20.54770928315163,3.5567570117485756e-39
205547_s_at,1.3407742984463777e-42,20.424327213210198,3.9664572995705344e-39
217764_s_at,1.5513425593431647e-42,20.38855169199283,4.131440840160983e-39
225442_at,1.5827491669349118e-42,20.692058759897083,4.131440840160983e-39
1555724_s_at,2.3007495632558768e-42,20.41234699929175,5.671986770526641e-39
212344_at,2.4767526054796172e-42,20.496142838998292,5.78452088779779e-39
223121_s_at,2.6175399575440865e-42,22.711061487558943,5.807666780800942e-39
212353_at,2.964945472340336e-42,20.390221189862125,6.095143610578525e-39
227561_at,3.0218176773572406e-42,21.040699453748747,6.095143610578525e-39
224560_at,5.986844848741375e-42,20.108474672090004,1.1550706094039065e-38
202766_s_at,6.580629611424241e-42,20.081445428405516,1.2167309958622944e-38
218694_at,7.219585417357477e-42,21.258918551496436,1.281476411580952e-38
225710_at,8.117912489101779e-42,20.018562812243864,1.3855091027072746e-38
225269_s_at,1.3654737546763e-41,19.915308946869597,2.2441814023615116e-38
208747_s_at,1.491465366848299e-41,19.936373101569192,2.3637062733533313e-38
215127_s_at,1.845851298355965e-41,19.858255644586272,2.730321712151532e-38
225481_at,1.8058399822214855e-41,20.231704565627368,2.730321712151532e-38
202133_at,2.8623165094666965e-41,19.805063801364852,4.097267584115634e-38
231579_s_at,2.996149034394359e-41,19.767508322410936,4.1548160437890526e-38
200986_at,7.774899541550252e-41,20.122698840513394,1.0454883853220983e-37
212607_at,8.285339210980202e-41,20.862429040570145,1.0813586102566073e-37
208782_at,9.684561406899545e-41,19.555775042841425,1.227864035517621e-37
226237_at,1.7970286909916513e-40,19.49330876900134,2.2150874489654037e-37
202283_at,2.033328602238971e-40,19.614696827452967,2.438620452009577e-37
218559_s_at,3.9231002892957725e-40,19.292198544019197,4.581251982565787e-37
210517_s_at,4.558234292290338e-40,19.46334427923896,5.18645248000984e-37
200974_at,4.9976017883883685e-40,19.20403819683328,5.5442144839933465e-37
209118_s_at,5.822457129903277e-40,19.168436120038592,6.301744759498974e-37
217762_s_at,6.634449785180599e-40,19.19377040221574,7.00961212422355e-37
217763_s_at,7.192485119038965e-40,19.207487417331848,7.422477375752421e-37
204620_s_at,8.785623394297308e-40,19.100124287413653,8.860500866407797e-37
228640_at,9.010714566246886e-40,19.175045852315836,8.88556575282679e-37
209348_s_at,9.677803184638486e-40,19.092789147831102,9.335924267789844e-37
221748_s_at,9.972080008964357e-40,19.617152742861148,9.415128731867944e-37
209356_x_at,1.5433894558253036e-39,19.8669751874435,1.4268313979634968e-36
209335_at,1.83900714335582e-39,19.010851743536918,1.665427387477847e-36
215646_s_at,2.6838100421935957e-39,18.86891072870167,2.381881412446816e-36
201426_s_at,2.8811576596692413e-39,18.97426049453995,2.5068896303494626e-36
212067_s_at,4.197989854574225e-39,18.91135876108745,3.582419226860216e-36
213413_at,4.576524871186894e-39,20.523662494008594,3.83176021054563e-36
201147_s_at,5.602558358399801e-39,19.036328659621677,4.603954206555392e-36
203300_x_at,5.844922495746415e-39,20.19026985455698,4.7157897408863125e-36
201842_s_at,6.058957791428855e-39,18.70984909403651,4.731377102168232e-36
212077_at,6.077487207292151e-39,18.993201775232862,4.731377102168232e-36
211571_s_at,6.344261946050684e-39,18.810527091684524,4.853907307862054e-36
216321_s_at,6.611308736738702e-39,18.741555792919563,4.97248856258949e-36
1555630_a_at,6.858729299391248e-39,18.79958406382704,5.035500221808657e-36
225265_at,6.92203974152852e-39,19.19385771811832,5.035500221808657e-36
227061_at,7.439896740239188e-39,21.70281412095586,5.324926094324419e-36
209209_s_at,8.04740541533642e-39,20.02403349493667,5.668311354056407e-36
203083_at,9.735678730240258e-39,18.679777334505008,6.646472979298638e-36
204619_s_at,9.676794166029583e-39,18.64501929912625,6.646472979298638e-36
212298_at,1.9664265401039896e-38,18.61655172378991,1.3023907121957395e-35
225651_at,1.9628725670741077e-38,18.48798421858011,1.3023907121957395e-35
211597_s_at,2.0825711989623403e-38,18.656681588083075,1.359030837558145e-35
221731_x_at,2.589023486947525e-38,18.48086393724695,1.6650422787434264e-35
212158_at,3.524316000094044e-38,18.415554846130906,2.2341646072024744e-35
213429_at,3.880439588216365e-38,18.64764866602775,2.4252747426352283e-35
230264_s_at,3.9687542707915446e-38,19.164047897243176,2.446020427310761e-35
211813_x_at,5.036192431834613e-38,18.306008455317468,3.0613840981186433e-35
212636_at,5.357521012543318e-38,18.41587653501477,3.212702634210942e-35
219489_s_at,5.61114806248071e-38,19.04994640075277,3.319929270301087e-35
202995_s_at,5.832636623862122e-38,18.407868061776764,3.4055690813668643e-35
201141_at,6.914994671527842e-38,18.293689339622023,3.985102448688935e-35
201617_x_at,7.132790889789775e-38,18.233553520174592,4.057917894031042e-35
211896_s_at,7.341720647067108e-38,18.358574261255523,4.1239095406785175e-35
201616_s_at,7.495962425602787e-38,18.266054530100206,4.157916657951546e-35
201150_s_at,8.020977214823162e-38,18.22842629759892,4.394208196392318e-35
201893_x_at,8.385093739659006e-38,18.382786021306792,4.4885390317432117e-35
226066_at,8.395464555147867e-38,19.245056332325582,4.4885390317432117e-35
213125_at,8.722602750349059e-38,19.176142557382246,4.6079225838897556e-35
218656_s_at,9.269150570740785e-38,18.290106049046507,4.839041842077909e-35
203817_at,9.608603921703233e-38,18.339984260909308,4.915400879140974e-35
209550_at,9.63695496304822e-38,18.483223563546687,4.915400879140974e-35
212667_at,1.3876962359230209e-37,18.28689008849185,6.997615962395915e-35
224694_at,1.4075905341606913e-37,18.146245374770178,7.01818314082929e-35
224710_at,1.4371831154773917e-37,18.17633592465669,7.086111194367695e-35
226834_at,1.7346557643842177e-37,18.636390521254214,8.458829620280183e-35
208789_at,2.1545987754783665e-37,18.322348247344895,1.0392426158897013e-34
211067_s_at,2.1837133714164775e-37,18.62983558996086,1.0419600092108192e-34
208131_s_at,2.2433211031521478e-37,21.249037342912153,1.0590146165146443e-34
200788_s_at,2.3953641518873276e-37,19.01138298954896,1.1188872025263175e-34
226751_at,2.5355668171994163e-37,19.40765743870041,1.1720393490960842e-34
211671_s_at,3.846809455887376e-37,18.015221462044046,1.759816181494869e-34
225968_at,5.009575375922707e-37,19.811258553084556,2.2683664010874503e-34
201058_s_at,5.6264766292148155e-37,18.972251662366343,2.5219686911253277e-34
227566_at,6.0925032419198725e-37,17.963111575462214,2.7035483136019435e-34
209191_at,7.866111929511437e-37,17.803524965338806,3.4560268997234657e-34
238623_at,8.162795903649249e-37,20.075613912383727,3.5512163551415237e-34
212154_at,9.258773645259045e-37,17.79462040047135,3.988913402993885e-34
222670_s_at,9.493315640382547e-37,18.975478544072125,4.050633476365149e-34
202237_at,1.1581122382715033e-36,17.71366601950153,4.8944029117426625e-34
238478_at,1.3846397618628656e-36,21.227159939129276,5.796546172892892e-34
206580_s_at,1.4305698937200786e-36,19.07321540378276,5.932854115311074e-34
209621_s_at,1.50264026483226e-36,19.104808815947912,6.174042754808475e-34
203688_at,1.8526902937459095e-36,17.845468066366532,7.542489154584838e-34
202238_s_at,1.8758733659063116e-36,17.681140731821046,7.5674436920084165e-34
212262_at,2.2791225323557585e-36,18.273828596921668,9.030005569043463e-34
219087_at,2.2744694872394596e-36,17.87800951195371,9.030005569043463e-34
213905_x_at,2.393808076264325e-36,17.5898622434194,9.400463131347736e-34
212423_at,3.540668809290363e-36,17.876079433053462,1.3782208632654374e-33
201843_s_at,3.847380194484467e-36,19.102992309438523,1.4845869228717236e-33
205168_at,4.1384206200171994e-36,19.87018602895048,1.5831242673557173e-33
203417_at,5.024061091459208e-36,17.584273079902044,1.9054932558419004e-33
201162_at,5.616913777677634e-36,17.414856403076286,2.1122927871563134e-33
203180_at,7.378899012301593e-36,17.4168043856341,2.7515852409317913e-33
229802_at,7.562505745901052e-36,17.529149153889698,2.796551603952993e-33
228176_at,8.105868779765173e-36,17.880512035733076,2.9727101413395003e-33
217967_s_at,1.17418053595497e-35,17.509573370068406,4.270841088770639e-33
218181_s_at,1.200587904805122e-35,17.51309919626704,4.331389290709535e-33
209656_s_at,1.222300179441237e-35,17.285869144082653,4.374158908282652e-33
219506_at,1.248224095179636e-35,17.464247941215273,4.431195537887707e-33
212813_at,1.280635178490651e-35,19.23427999262381,4.5101734956763996e-33
226771_at,1.5081286352272507e-35,18.145451036595016,5.2695439518275e-33
201865_x_at,1.6278583236643272e-35,17.274849458166425,5.643454149422228e-33
204051_s_at,1.6797293916067455e-35,18.32361061089069,5.77813889554646e-33
211535_s_at,1.6978735338495505e-35,17.612910701186593,5.795626004967216e-33
221730_at,1.9581240188612728e-35,17.17159007051574,6.632958269997632e-33
201105_at,2.1190624733450007e-35,17.3797531095042,7.12374221626397e-33
204939_s_at,2.239565470894807e-35,19.158795552042687,7.472234418868953e-33
203695_s_at,2.474201016353304e-35,19.177508651060027,8.19348284333417e-33
201261_x_at,2.5995184002557656e-35,17.287169679395916,8.54471326009997e-33
202664_at,2.6912308388080265e-35,17.111250935007806,8.78113003471369e-33
212764_at,2.7689945257439467e-35,17.712723835291595,8.968914750356762e-33
221729_at,3.7301166305745946e-35,17.04625033082128,1.1994487353749829e-32
212397_at,3.7672155964458016e-35,17.091035764210975,1.2026632524624637e-32
214844_s_at,3.8696155698141976e-35,19.33119362346697,1.2265299350750359e-32
202765_s_at,4.149722086977878e-35,18.19414611774696,1.3059852312740662e-32
208851_s_at,4.815209416769799e-35,17.19187274625347,1.5026592225168364e-32
226152_at,4.842372255096509e-35,18.381723344366478,1.5026592225168364e-32
215388_s_at,5.108793475068411e-35,17.276166231816923,1.574324378167783e-32
200665_s_at,5.298346285606006e-35,17.52119744353819,1.6214766649914934e-32
202994_s_at,5.694502235320663e-35,17.466689002886028,1.73077764857777e-32
205880_at,5.937684026970496e-35,19.2229555091823,1.7924131203865018e-32
207191_s_at,6.717816841917644e-35,17.455270248270807,2.0006920963764796e-32
209897_s_at,6.683050705250304e-35,17.495235452337226,2.0006920963764796e-32
201431_s_at,7.247675817176491e-35,16.928145987112845,2.1441040959147117e-32
201852_x_at,7.490322361735865e-35,17.935298685885286,2.2012122834571454e-32
204083_s_at,9.435957738075392e-35,17.17161332149623,2.75474095149405e-32
225450_at,9.54435786135128e-35,18.072626396463736,2.768175686911523e-32
212829_at,9.684889470868944e-35,17.04287568755926,2.79069461214162e-32
228827_at,1.0073864060446867e-34,18.76483432017701,2.884049791498902e-32
226769_at,1.1651747188261056e-34,17.36958896628262,3.314399240250541e-32
226282_at,1.2619986248314407e-34,16.9301846909318,3.5669547119041517e-32
212646_at,1.3249118820603507e-34,16.871219593589114,3.721073719394181e-32
208850_s_at,1.3452049239715746e-34,16.89033811989191,3.7308417813274137e-32
212419_at,1.3447069723117938e-34,17.815309854019574,3.7308417813274137e-32
227070_at,1.4355543065906911e-34,16.959727574256355,3.95669082950074e-32
225021_at,1.5377932332168122e-34,17.16677857886534,4.212319427407163e-32
219778_at,1.5488283734253609e-34,19.92505011728865,4.216518961395729e-32
226607_at,1.6855278292238015e-34,19.459202198390777,4.560688867183304e-32
202897_at,1.845832919214992e-34,17.118708472667237,4.964171866070622e-32
1555229_a_at,1.957940372985032e-34,16.828905420170024,5.233952051277758e-32
230130_at,2.1016831530949254e-34,17.088632410047218,5.584562270574091e-32
202202_s_at,2.4786065352084327e-34,16.787980297473577,6.546914583325845e-32
222877_at,4.033377489582955e-34,19.349105579346222,1.0590599177529207e-31
