probesets,GSM971958,GSM971959,GSM971961,GSM971962,GSM971967,GSM971968,GSM971970,GSM971974,GSM971985,GSM971989,GSM971990,GSM971993,GSM971996,GSM972002,GSM972005,GSM972007,GSM972008,GSM972011,GSM972012,GSM972019,GSM972023,GSM972026,GSM972036,GSM972037,GSM972039,GSM972042,GSM972044,GSM972045,GSM972049,GSM972050,GSM972051,GSM972054,GSM972064,GSM972068,GSM972072,GSM972073,GSM972089,GSM972091,GSM972097,GSM972098,GSM972100,GSM972104,GSM972110,GSM972111,GSM972112,GSM972113,GSM972114,GSM972121,GSM972131,GSM972135,GSM972140,GSM972151,GSM972158,GSM972159,GSM972178,GSM972181,GSM972183,GSM972184,GSM972186,GSM972191,GSM972195,GSM972197,GSM972210,GSM972212,GSM972218,GSM972226,GSM972227,GSM972228,GSM972231,GSM972232,GSM972234,GSM972239,GSM972240,GSM972259,GSM972262,GSM972268,GSM972269,GSM972273,GSM972275,GSM972279,GSM972291,GSM972295,GSM972296,GSM972300,GSM972304,GSM972315,GSM972325,GSM972326,GSM972345,GSM972349,GSM972350,GSM972361,GSM972364,GSM972365,GSM972367,GSM972375,GSM972379,GSM972380,GSM972385,GSM972389,GSM972390,GSM972396,GSM972401,GSM972409,GSM972412,GSM972413,GSM972422,GSM972429,GSM972433,GSM972438,GSM972440,GSM972443,GSM972444,GSM972446,GSM972453,GSM972457,GSM972459,GSM972463,GSM972467,GSM972472,GSM972473,GSM972475,GSM972476,GSM972477,GSM972479,GSM972480,GSM972487,GSM972488,GSM972489,GSM972496,GSM972502,GSM972510,GSM972512,GSM972521
1552283_s_at,3.79932049630978,6.95649204525818,3.31263455638993,4.46828330238762,3.91508806272493,3.36542027567992,4.09847848047225,4.04179726349252,5.25675871552916,4.88161898153424,4.07919237691938,4.64891421273901,3.85420980060122,4.14613274873591,5.12130895049673,4.29609526596232,3.68477157915574,3.98885532433067,4.33674239306503,3.56868000279174,4.22308322317802,5.64555374668872,5.69693987266493,3.57751367785275,4.5072518838444,4.13026771678527,3.75093370730303,6.60348353568333,4.84303291315538,4.12600221548469,4.67302659619067,3.74893914916301,3.73775034413474,3.52934350974346,3.33843824026576,3.89091090311957,4.93897459633189,4.61403773427189,4.06924751711454,5.09113238655288,5.69063163591771,4.05105980630327,4.02440654406069,4.18883328023297,3.76985361796099,3.61954980325922,4.45598244689118,3.59976877771037,3.43644351977661,6.53685930550368,3.00489559827963,4.12218163393796,3.50996923397175,3.71930567278266,4.69128388861692,4.15702105833001,4.18346354766453,3.3352399170567,3.95800126644945,4.32209581067263,4.01358223961384,4.33323638742892,5.78642758736703,5.30255396204211,4.79317898084479,4.49010179367767,3.86012746367269,4.63231152090516,3.95796503333283,6.17236488846637,4.31467638313413,3.47785143475927,5.12091372190935,4.54904367211649,6.99996995396803,3.92708920268518,4.23927104665904,4.74215976260644,3.37304958533893,5.03895247184194,3.92483334782369,3.73772960813694,4.92831041405756,3.90677158026486,4.01832185770778,5.67826927806332,3.44964691157246,5.4825996724772,3.72721797509456,5.25874786065708,6.0891688971962,3.42443625835997,3.57966542283511,3.85515191912851,5.27102512748547,4.87441186855239,4.34465968840443,4.12293303816906,4.40219129119909,3.30375948161423,5.15109256778222,3.33758997269006,3.77853550372859,3.47523558694846,4.17174636783639,3.94379079184012,3.47691489680792,4.16586600761184,3.69187078581357,4.70223083916114,4.39698251828555,5.17865158733504,4.33468954590691,3.67359340128237,3.61166356526919,3.50759064777927,3.63286861373549,4.06440060573374,4.55988118428694,3.50136151370209,4.37997577617775,3.9932073417936,6.16930569736688,5.11313549132484,4.23853521216079,4.80579532580188,4.64888710965925,3.00532260116953,3.60980827596749,3.62483370195362,4.21492588645312,5.45520596888292,5.56508304630379,4.71388237028872
1552309_a_at,8.17636400202264,3.40581296004219,6.62637664827246,8.08570855234498,4.81113201018887,6.88310070902642,4.40700446817095,4.98596057260257,4.5211351513341,3.83986383994448,4.62442178425842,5.3204994880175,7.02181703355955,5.31844913735462,2.40763466562111,7.5696157640581,6.33190821953519,7.56669753362172,4.88123696890939,5.68814874357772,5.16353649721413,6.58708357279464,5.08985243068314,3.52918454735101,8.97799787892904,4.34531551285025,3.36626003557899,3.71186365392874,4.15659688849927,4.92581431508157,8.59545267701854,7.82810885956576,5.06775203655237,5.96637308627382,6.19760293263905,6.42235928578378,9.08698353774003,3.72890751875597,6.99146840634439,4.35585707191078,4.17752985072198,7.09903748066764,4.51526595173483,4.31213809258547,6.68700343053653,7.65551072540117,4.57446540550969,4.74587923145635,6.84703601735047,4.49687206493926,7.54818012206438,4.56170281408552,6.39850079811018,4.53489883502189,3.60407458468893,6.66356232159206,4.05799846042313,6.81692639167899,6.66297214995331,4.863255692878,3.5394755502813,3.522170387671,6.18413831604845,4.44433101947373,3.76796694900073,4.31322776704415,4.2807324137214,3.85261550353798,6.92909581137047,6.20031508964501,8.90695436135412,6.76547654542807,6.7359413200181,4.02929444399729,7.74461107948321,4.41973083444685,4.025483341426,3.95030340089154,6.8581027327493,6.23566981145334,6.03763425351935,4.52353291825343,5.6081802779945,4.38933504605752,4.21432445062337,4.86162979028025,5.58791445586254,4.02464785152829,8.19599464683286,7.77496937462492,3.42236433212025,5.96345399155893,4.33848952161428,6.17516964404161,7.00816970361191,6.69684422295258,3.23352224527773,6.90702944677398,7.90623588782343,7.0627936400012,4.32880719485101,5.17616651912953,6.29924656503824,5.59052871321119,4.88356769961492,6.17029552808069,5.65280197747521,3.80935612671927,8.379508899823,7.81840649520897,6.63060462130674,5.01144753873202,7.40941103741841,4.93586053140544,4.55871669066462,4.49353311412889,4.59704126921322,4.46003147386385,9.65175056915255,5.02471599898401,5.22973290411651,3.73058420389622,8.35814079010257,4.57380370043378,7.42222647939801,4.31689535774071,4.04320814059855,4.44514549199962,4.44705217297563,4.19376195880915,4.47534997195873,4.44280181167048,4.44699403646506,6.31277245830416
1552365_at,3.93499827380267,4.51776748529229,4.4040518936479804,3.67103826635643,7.31858153746486,9.20363589428589,3.68493442401511,7.29102340666851,5.80099698950873,5.18264036684828,7.36685531071872,6.4169006291368,5.07078367844167,5.68302519110064,8.00199536177628,7.14848651596025,6.99927889041779,5.81027818700985,7.13323873199601,7.69989971869291,5.43229539150764,4.48616990180416,6.48347112347213,6.40716310020625,3.76593117576692,7.86969602313445,6.79167249400801,7.9149956032839,5.3087008630544,8.10726783090192,3.9475505887169,6.10709107678796,5.30372293452016,5.04929942960752,8.04295700116193,7.05885913377613,4.80130302389169,7.5579267932901,4.45200052616395,8.74502753559046,7.05630281872802,5.72115040105044,5.81047790111608,5.28014829634911,6.08724607917012,4.35827065746913,5.26269515924941,5.90535109644064,4.92533490362158,4.55983953477097,4.89307673272798,5.78254088102539,3.84009453914079,6.20965596790563,7.41972386578445,5.06614860882743,7.85341409561221,5.85594550246594,4.62672712318267,6.53381847853843,6.03910417957478,8.48562929342092,4.4047731862522,5.00669582038012,8.08446267246122,6.00187066443019,5.18503984916583,5.17221484942166,6.07869842762573,4.92770297655867,4.76048555139128,3.93926305254778,7.15011402357711,4.95680202691366,7.62987565926695,8.80621187925505,4.35473075145987,5.99755466106302,4.41879209924249,6.53853450257972,3.96575530729528,5.70144124884845,5.30754957249736,8.29520402856413,3.98021184201312,5.93622433470474,5.25417896156849,8.28067646178111,6.35507830880025,4.95353004548108,7.14124290592385,4.46713396189029,7.76398687300377,5.58200994513268,4.72159804652154,4.93903063483232,6.78439962232205,5.12199356075744,8.11962549205424,7.72880395442613,5.88826432862559,4.16634898316681,4.2407245314691,5.56009388864925,5.41285940535473,4.49895113632564,5.17961553824854,7.01847787174323,7.39012766044917,6.42219858169318,5.28791124092872,4.13357717923543,6.88145985816002,4.9223078869343,5.23125851124301,7.906614975922,6.87537107200516,6.54640134470398,3.6380115940142,6.32157755639032,7.56092044335766,7.52499517663872,3.96382474998925,5.85072552538176,4.37070356467544,5.58978253903078,8.06833761649946,7.41852131573293,6.90950903692695,4.00450162982323,4.33250773917388,6.55794179439713,7.20442730851672,5.76917104087061
1552367_a_at,3.15591539966855,3.68098204389131,3.67709726480124,3.07468183324908,6.23944477984431,6.8496589885632,3.25228417970451,5.55564129197525,4.49208139472341,3.99684284460634,6.22618609718305,5.41234399773106,3.56510019527532,4.70038557176829,6.55811814820011,6.0200386421134,5.46455031326129,4.30284389915318,5.70435197135895,5.89603709894717,4.71996226457829,3.52346714898599,5.69064829480354,5.55876386804995,3.02828157892893,6.41512207702595,5.37621772288193,6.18332617859439,4.05914237914104,7.1265277906783,3.7045500687435,4.9644064691548,4.13427248031702,3.78508995412056,6.2547724055963,5.74221155672603,3.92668982455163,6.1926632007744304,3.86870996248166,6.57371677881444,5.52339106516007,4.27500538403999,4.60099882767841,4.21846170099391,4.7058135455698,4.01556788244538,3.9083907720122,4.47780185691874,4.03189995903135,4.01288374083983,3.84306537718717,4.23865111182645,3.87973197617245,4.36785853611691,5.47150156559427,4.17022915957794,6.36549203177345,4.99100477817176,4.08342885749846,4.71804745687997,4.82818046863133,7.09255626173937,3.66874364930479,3.68124511969259,6.5184656132620296,4.54264515638732,4.5001933386324096,4.06467491169273,4.47860944535473,3.79340214239531,3.35200096345892,3.63484438810794,5.41655460332419,4.25590318717561,5.53707825051424,7.83160578931213,4.1088693782245604,4.62602529657855,3.65151722814887,4.98410095826414,3.43031576646493,4.39527613249214,4.22003194597878,5.71698414652194,3.82074639978949,4.70044613463104,4.0965549115083,6.72535869016523,5.23030994496002,4.19835307757178,5.99797780935588,3.8920159339722,5.86870834663137,4.57551517666327,4.25707197591198,3.74670672683916,5.09353370961512,3.79709254901432,6.64732766252384,6.21575536228538,4.2074397523395,3.93976933556685,3.46033637235355,4.3876184999208,4.32340561022799,4.1614567894962,4.53554011830353,6.05252595115144,5.01384500902045,4.22075861757342,3.8179658062889,4.0301653025341,5.65061345520253,3.88755767285887,4.27550332131979,6.60950191484156,5.18388039361221,5.38803504176598,3.3601680973993,4.95863697122213,6.09939641007872,6.07500685876863,3.11336082047076,4.95195593259853,3.10476566854657,4.01873798164633,6.6555743954713,6.11416685608473,5.27325205329131,3.59169679331072,3.74074117575469,5.47719190308622,5.6661199034757,4.27247056910817
1552455_at,4.74691684013229,7.82556464643267,5.2364417708651,6.80921253517203,7.88864588316662,3.92946927718535,6.13051989960526,7.00373004441601,5.80732604643797,5.36273918977867,3.85429876865284,5.77068703860123,5.38974979412484,6.30449460961012,7.99445364892155,5.74477211997197,4.82898941721383,4.71499014314123,6.08673997794844,5.0324961041377,6.00944819356641,6.4808740439217,4.78734778783199,4.74654712762914,7.73106608515571,4.62756485984939,6.47991057510801,6.46280094652824,6.10211472991292,6.71241726925921,7.31846351889736,6.98431198499352,4.63047154025238,3.99115045441278,4.15271844313056,4.58732861709875,7.76738077285632,6.25526952048684,4.9248458657004,8.34634050846418,4.60529574100245,5.31622484876316,5.72109456678483,5.52103624321981,5.12850235362307,5.86579164157083,5.76625091345444,7.40437851474885,4.56448270524469,7.51745823665564,6.16664821001897,5.84895669677398,5.2864830538503496,4.8176547470521,6.18248190250414,4.97807541853413,5.86814727839231,4.1196777516703,5.60342568741934,5.43467674182341,6.32768859577911,4.90127031686912,4.75424873710566,7.19949934905276,6.45330778470255,7.98575699250839,7.25904908491369,6.63918397226202,3.9433778013079,4.72979774514634,6.45034156324053,6.19870246511532,5.20552116288169,5.92915370370539,4.65425943394172,7.24839320838376,4.8815974758171,5.83749615557166,6.46507062657388,3.83706899569433,5.17082330820106,4.62709605651084,7.34506746244434,5.41913158384593,6.20466590209163,5.97058913247933,3.76146208043721,6.66405368946297,6.4185862588572,5.00856568534733,6.10751609972193,3.96645227129149,6.865939312149,4.16780800440409,4.39677618766538,5.40335266431504,7.39537602457686,6.21309475857129,6.05829442222837,7.53335630999271,4.65494382870325,6.80398050125334,4.73545477609233,4.16876551110602,5.98426036483915,5.1360917286006,4.84082441614207,4.50056255052161,5.89666632746649,5.51315638626529,4.05831521685629,4.2349480626398,4.88853869069872,5.97429967053013,5.231245594434,6.40647178423573,5.10220611251942,6.51318732930905,7.41245166435148,6.58229233245906,5.06328902694319,7.18861472687638,4.23546852070426,3.67308845417996,4.07402058384245,5.15954906545138,6.62006656514881,5.71066915967053,5.79111761806342,5.12968736501369,6.19063586216663,6.22285064119445,5.71354257954071,5.29204616584876
1552502_s_at,3.18221314474094,4.4379451222813,5.08195971831874,4.11145139771394,6.46928940718164,3.60633131196849,5.48342886006066,6.85133559261365,6.75686891161051,5.74719686705878,4.58128492625849,5.14390285891868,2.67050590463582,5.78412647971378,5.55936574607259,4.93086279135403,4.29760279648284,4.05617016170704,5.97318240221018,5.25014415672823,6.01277521128689,3.60276517549809,5.93447160568261,5.9755511740036,3.0562860425457,7.00966589961511,5.22599238530869,5.62176728827469,4.86336378311014,6.51083235173727,3.26459207044465,5.10903829313621,4.34555440667513,4.02155068227537,3.61386063755162,3.83724268906805,3.95150343882544,6.48024754035785,3.83473937215729,6.50902185425854,4.4469801247622,3.84117900294712,5.94260754285903,6.38637174241,7.09431400108515,4.75443007143967,4.49829511660624,5.41776724926408,4.92166857366767,5.83731285664502,4.30959632452503,3.42940401340075,4.41640072189558,5.24633658619766,5.09657262730633,3.44431620673771,5.09451455254813,6.96580488471455,5.66899965664657,4.79106057748987,4.78713737528112,5.88277201929746,3.65964836298658,6.43254047584963,6.97081460321682,4.46722414957193,5.64626908111449,4.24543999333547,3.47430787111656,3.29803467703679,5.06408977616331,4.08589219664895,6.56103471839581,4.71158454603113,3.54242651478163,6.80926447304452,6.48825460865081,4.74054676776842,4.29193923798,3.47572258283327,3.82408295797599,5.36203529129317,6.77734044948285,6.29711860889995,4.72963616135317,6.39982139488747,4.99237836878175,6.03793590529022,4.90844830039929,5.89676587014684,6.67641078854401,3.11329378746989,5.96615556808734,5.87865362806876,3.64945746390618,4.24398526913484,6.07309423778532,4.99205136005432,4.03061538348299,5.36293093874575,5.00074307977929,5.52401265354586,4.2303981852535,3.75568779217702,4.19691278337825,4.20204274475217,4.08115433851135,6.38480490099972,5.00253925877419,4.75882017276683,4.6153838584943,3.38899678205175,4.3901118875216,3.86959980680664,4.65069727847836,6.04916552138966,3.47891697130304,5.30707143805876,1.67503544614661,4.89181614762877,6.07078854341485,6.24055500311182,3.83414479471879,5.64711169337036,4.86186194688044,4.70712851939553,6.73377216573949,6.50950672931842,5.56695882565127,5.74883973691187,5.8677889370078,5.716573303035,4.40371771174082,3.65421537092534
1552511_a_at,6.43264854736709,2.89410398526247,3.50847586786704,2.52755533501109,2.61395251546371,4.79421514299403,4.60863785903374,2.78042871763064,2.8524788790145,4.00703028115407,2.95644347876704,4.7217741064776,3.37198455950348,2.64748650500787,2.65130469887337,3.15431716811599,3.10269201926918,4.04824321810582,3.06426330021389,3.15163063750775,3.95691038330853,3.41470678037924,3.75906306061595,4.94743129916877,2.87917658255979,2.79968720974042,3.32566938600391,2.90019539427178,3.13150904140724,4.68985588138073,3.17937186081304,4.00368950069122,4.90048775396001,5.08708046598995,2.64104804985533,2.99533960175414,3.37769719863213,3.8999238460172,2.92834347091717,2.87864301774049,2.78822648085686,4.56041815934919,3.18888955885329,2.97059831059913,6.56705583380755,3.82032613104649,2.85882783020726,3.34692166953095,3.15522869018468,5.11863933127404,5.06420909610686,3.98617475336813,3.41727952174297,4.04156900752815,3.55669590938679,2.86075466522571,2.98901898557857,2.95575955457189,4.15178650139091,3.42085193357328,3.1202547292629,3.70163694943423,3.55443874336375,3.51307408927496,6.38370738608247,2.56552988638031,2.87945558089684,2.59558593759388,6.63927152081506,2.69456869786077,4.47076837642056,2.76980949901849,4.04071277824205,2.58555573999192,2.7259614550892,2.9174353936213002,3.12604558170992,3.05203470497854,2.68153160025951,4.1301929443388,2.80034732659978,5.02548899836187,2.5024395517376,4.65451466817523,4.79179841288484,5.5329160140427,2.61557806760128,2.61956663534886,6.14708907952129,4.28937321377166,3.21746778394604,3.00409568974883,3.73563442734601,3.31892351288118,3.16183911118847,2.65630508404939,3.2030682526622,3.65819459938491,6.03927153591616,2.96490030831259,2.53632862305192,5.11969272177744,2.7717836130778,2.61407220322755,3.20718579162891,3.08480510264487,3.82894854629499,3.2160666902224,2.56947980768902,2.70696324421607,2.26366891442396,2.81735123153999,2.48917386851724,3.09000283324006,2.99780101348807,4.41998051826038,4.6992585651704,3.80205316607175,2.61395731679326,2.97531704127316,3.36898492730641,2.62909874950003,2.65432570977758,2.61822740586909,2.38362831430111,3.51706309129352,2.65339285363003,4.68670441819769,5.04196995388536,3.33167665403378,2.88297090605798,5.08420020023673,2.95957653223819,2.9918457681081
1552766_at,2.83427977156965,3.31723643457601,3.91417678312735,3.8135071848688,2.67329891122007,2.69987975072738,2.62867079621463,2.78152487270713,2.57024664255741,2.77355249894387,5.30251036643915,2.76290700634466,3.12769326158003,4.58084455694379,2.69924901681858,2.9035473788872,5.44579140452748,3.23940355417072,2.52680558102423,3.41265458838517,3.74344811839834,2.76553237980329,3.27085496077962,3.91922359606064,2.91184040315712,3.80724432946686,2.70118654546572,3.24457844066347,2.4758207397478,2.59571672171619,4.0544319739604,2.69753174986204,3.92881974433042,3.19800796423528,5.74161956750024,4.7887509365883,2.98699435870241,4.99660925980381,2.66471676569826,2.57651043364574,3.11242018536684,4.14012550017061,2.82466632458741,2.83675501736093,2.54241067675245,3.27011570555556,4.05960126539445,2.60104937530286,2.68021681803181,2.74989643105817,2.8865236612396,2.75345266221958,2.79510557764225,3.04663937334192,2.79942869893705,3.41791420310204,2.85230968623143,3.87555924444423,2.70717932288201,2.95243125938515,4.03792874549601,5.25796503292127,5.06909317024148,2.84065640937603,3.13114130293167,3.24589526980898,2.87686100703571,2.59497736258861,3.95909487556399,4.02604892154345,3.17601535155363,3.46027269500552,2.9629826097548,3.95621419342418,3.45248622422382,3.29945099411401,3.34361183402888,2.62846433321191,3.08698765162204,2.80804744446348,2.97866675487149,2.71425650220189,5.58895702210067,2.92934938488691,2.40884619767986,4.4572238554359,2.78086197545743,2.98714076627755,2.78382295365746,3.60747708950107,2.71165176821569,4.02777308565862,2.70542346093397,2.50870815344867,3.08143977338774,4.45181170031818,3.14439207022435,2.70807307987418,2.52591594520281,2.78891185848754,3.12822142522951,2.54910270628672,2.53592645006849,2.58790361403871,2.80996152087938,3.23963068389298,2.42972751586881,2.7185100851116,2.75301996809294,3.73245850707224,3.29604388877766,2.32593028164874,2.76669484393052,3.16327650826932,3.71038187133904,3.17499802337114,2.68425075113162,2.6620456695269,2.94803526937177,2.59010300527181,5.69168614070017,2.59528226390723,4.10996512051856,5.2061508645874,3.19406599053116,2.53978440570187,3.44109376952833,2.62850337786538,2.68968864039518,4.29233649665485,3.00200760014008,4.24017683428612,2.7990190389258,4.30134467261189
1552767_a_at,5.13888292959912,6.62360985509954,7.09067860643111,6.63023100337955,4.11552952172688,5.27881109049286,3.63239387260113,5.39131462664836,3.29167556410845,5.46791899394083,8.84715605269191,4.50574825593235,7.23972186855806,7.75157432332405,3.50929060520054,5.4298746337085,8.49713727844078,6.36880123210462,3.8713404424204,6.67113678363069,6.47421005120201,4.60604095069265,7.30603503442515,7.70358547452237,6.19155013643864,7.17995791219175,3.7702787402746,7.38392220279011,4.09519774375795,3.71043027559785,7.3953755412763,4.82593639961303,7.12832256834656,5.70047893226642,8.43731853765789,7.82582535341442,6.40106866417585,8.15070095121373,4.68060038434987,4.15563163011965,7.57634612220896,7.0657359247642,3.69258738694454,4.24730871004106,3.68792879666929,5.1813173932311,7.66099575335377,3.52440983644109,3.82535113942793,3.93602333055312,4.76195078281045,4.19631233792422,3.75559840448034,6.73386201904346,4.121669058178,6.75683961903996,4.453113170781,7.2625784420191,4.68582907474429,4.07507103644734,7.11525717989503,8.39219829328302,8.57225400814838,4.82064578574063,5.14394357303016,6.47916265197247,3.55347765637423,3.34901669439949,7.10107603558481,7.69955119549411,5.68159319468457,6.32399605906382,6.86235303618087,6.91398855378951,7.68789438361701,6.6270387237714,4.88872695465562,3.58313700420382,8.34728783860304,3.6260051488739,7.04934662108646,3.68264127005815,8.11645421076969,3.7629399616167,3.66771828849624,7.42105545121909,3.97810908358371,5.84705058952414,5.07560967246946,7.54524240677101,4.71041085049939,7.31898260314018,4.3903954874898,3.62473471697348,3.66294337679839,8.71177818087271,6.67140253592579,4.28804826747103,4.01699458988074,4.56369688299817,6.07544232687519,4.0746139431102,3.93487068422782,4.05400332686818,5.05266624352834,6.36106240903415,3.45489643408776,4.38793786385851,3.96648448257185,7.23290081935093,7.19109152054441,3.28902331851493,7.66677276444676,7.84040333284747,7.49264346596282,6.52838044209369,3.47732824895019,3.43264245637287,5.82049062615018,3.51365234555954,8.47875521126493,3.90156204473945,7.93251895070286,8.99857053462378,6.21629031562485,3.51111755263941,6.6455554336935,4.71897493971659,4.18447455549495,7.39934455049556,6.41058261439113,7.4449262696039,3.85094280430649,7.67216511427595
1552797_s_at,6.51110144650241,5.29026889836366,6.85786893690361,4.9810298192014,4.36992700055938,4.47418637145008,5.68295034878081,6.8262788215477,8.21052962139121,8.21281379081494,6.12531220594895,7.49541797658409,5.22708192073936,6.50394663341705,3.31881015957075,6.40977893111115,7.81128047620762,4.85823136728642,7.7949681116525404,7.16505377920564,4.98700628078118,6.75986288711348,8.21932804468819,7.39032528377403,4.83125603760916,8.0447228701438,4.50720761732002,8.57748189939598,6.13150473564174,6.00599204494321,4.46520890005329,4.90779291206665,4.37487143611534,4.9805787500568,6.78617409273898,6.92577839423879,5.25925244201996,7.93611310928741,4.81457437394217,5.075343149918,8.79977241141562,5.26494325810837,5.78018969714244,6.92201568808276,6.25926322516962,4.91989167650697,8.44522801969844,7.68916373207101,4.89405587217392,7.135221773143,4.52484064442362,6.59481188532797,4.90982819517576,4.5964989481887,6.94756636989094,4.35889364099368,6.62797001616211,3.68419165815432,7.19790684713664,7.20141837627288,8.49752649320001,8.16405720765741,5.23207780082721,6.22805761125465,5.6280998511081,4.42034273726751,7.0570667859347,7.75045956659695,4.49649487860938,4.03994057471276,6.68239934167429,5.09078485096141,7.85409636971391,5.1478142021486,4.74835967033952,6.25883280697894,6.80913177407459,6.77001663419962,9.42525812953417,7.1420092115576,7.53682171769148,3.80196296272382,8.03463274824827,5.33411023966324,7.41654728198524,7.86117838149189,7.60112548290845,5.06765751744769,7.13306715274307,8.17941810750412,7.21334118287212,4.7159455205472,4.66957128247274,8.86395569383586,4.36684513796863,4.85668085529601,8.04558035751043,5.68550681332868,5.37580089930381,4.14610031679508,6.65273400382396,6.43780196642626,5.89840815416318,3.64838741398361,5.72607890794257,4.70156714915112,4.89772443767211,8.01295883278416,6.47493121176344,6.61377421417716,5.06252832452991,7.12535006606682,8.81562169867365,4.4822510557364,7.87338272500445,5.07609716558629,5.02167749365636,7.69418079129017,3.45344456890033,3.14770203458635,7.65202034941245,4.84203536465232,3.18679162727738,6.37936928151097,5.90959424516733,7.45768535880556,6.34697554701184,6.57596035207505,6.02401540210332,6.06107930584891,8.35245106956663,6.2964569655675,5.3328540702879,4.88788565279857
