"t","p","padj"
"223121_s_at",23.5664926829979,2.84120686947033e-44,1.08453601552465e-40
"223122_s_at",23.3067211763392,1.34574609683018e-48,3.08216228557017e-44
"207266_x_at",22.6544687338796,2.56598171130962e-47,2.93843395670621e-43
"203748_x_at",22.4614145159547,7.12650249215213e-47,5.44060955259201e-43
"204457_s_at",22.1671770316659,6.42634713647706e-45,2.94365256933468e-41
"209868_s_at",21.6094969899617,5.03176982818758e-45,2.88106560937451e-41
"225242_s_at",21.2792504769876,2.00937034394141e-43,5.89506026244625e-40
"213413_at",21.0355349737235,3.83225094273489e-40,4.38850216707286e-37
"202363_at",20.9774483602018,3.86230162174608e-43,8.84582940428504e-40
"226930_at",20.9556455792225,2.54735834837182e-43,6.48246091697332e-40
"202291_s_at",20.9040763739065,2.05913994234685e-43,5.89506026244625e-40
"227059_at",20.8854379181402,1.14241335593203e-42,2.37860846281012e-39
"227061_at",20.6357729463527,8.56272993501132e-38,3.50200363752793e-35
"219778_at",20.5966763561598,1.42441995208585e-35,3.10699906310688e-33
"209356_x_at",20.3530046145062,9.67253062761647e-41,1.476866459762e-37
"212607_at",20.2510162380113,8.78934822502217e-40,7.74240163068011e-37
"218694_at",20.1434367986274,5.29665786928563e-40,5.17846324892471e-37
"221019_s_at",19.9378989614465,1.31307029059552e-33,1.95280836789021e-31
"205168_at",19.8355977333096,4.51570321164386e-36,1.10024628357744e-33
"225464_at",19.7479399610488,5.62245377170833e-41,9.48853476129822e-38
"217764_s_at",19.74076719759,3.85525136502738e-41,7.35806850110184e-38
"200986_at",19.7347109581212,4.86811019808237e-40,5.0975458990697e-37
"225269_s_at",19.6252803751468,5.80009110850871e-41,9.48853476129822e-38
"238478_at",19.6081989476973,2.41998136152242e-35,5.08484707549981e-33
"238623_at",19.593129096403,2.85991470036746e-36,7.44325299801318e-34
"227376_at",19.5089911397559,9.63567773905616e-37,2.90376220075794e-34
"225481_at",19.5033002653024,6.03749090398032e-40,5.53106616695445e-37
"224560_at",19.5020225511995,1.25947399194127e-40,1.80285830233943e-37
"225782_at",19.4909264960119,1.65033209462059e-40,2.09986422017196e-37
"208131_s_at",19.4619208553257,7.20959351111888e-36,1.66789212308238e-33
"209210_s_at",19.4298667706956,1.60596518498799e-40,2.09986422017196e-37
"203300_x_at",19.4174137828564,4.5661581372749e-38,2.05056313368641e-35
"217763_s_at",19.379900130818,2.90313993254596e-40,3.49950599342633e-37
"222877_at",19.3793235690677,3.37535573859924e-34,5.72635351712136e-32
"212344_at",19.3774422079262,4.89656419593649e-40,5.0975458990697e-37
"203695_s_at",19.3550132947279,1.44490186379361e-35,3.12194220627028e-33
"212354_at",19.3508690959711,5.42649949675558e-40,5.17846324892471e-37
"225265_at",19.3490068607044,2.13992471855196e-39,1.6206891850552e-36
"227561_at",19.3302142029438,3.12930499276e-39,2.17183249239946e-36
"206580_s_at",19.2120663337921,7.84322330920896e-37,2.49490754792795e-34
"202283_at",19.2084948810886,1.63623994120272e-39,1.33838583476307e-36
"219489_s_at",19.1768911796933,3.14631103031335e-38,1.47061145974014e-35
"209209_s_at",19.1581015922351,1.49852354985044e-37,5.91735945900424e-35
"201147_s_at",19.138016710468,3.75238591686361e-39,2.32272688253857e-36
"202766_s_at",19.0583833890727,1.13439031540112e-39,9.62257088653035e-37
"212353_at",19.0441294642142,2.19365867950536e-39,1.6206891850552e-36
"225442_at",19.0317969022059,3.22852597093487e-39,2.17479206800945e-36
"205547_s_at",18.9825194299685,1.7019626945402e-39,1.34413971010532e-36
"209621_s_at",18.9809679254049,3.16293212842081e-36,8.04895939302466e-34
"225946_at",18.9510597573826,4.44786461386619e-33,5.82111104293585e-31
"226065_at",18.9313778285578,9.4041456300146e-31,7.91849806486119e-29
"208747_s_at",18.9218159917529,2.34156153150272e-39,1.67589949237521e-36
"223378_at",18.9131056450963,8.84121947681690e-35,1.68742041397948e-32
"225790_at",18.8518455854598,2.14310461637565e-32,2.44196641934585e-30
"208782_at",18.8457778884197,3.41779410037937e-39,2.23650680802825e-36
